AccSpeciesName,count,AccSpeciesID,Genus,SpeciesEpithet,Family,PlantGrowthForm,LeafType,LeafPhenology,PhotosyntheticPathway,param_count_before,param_count_after,PFT
Coula edulis,8,14880,Coula,edulis,Olacaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Craibia brevicaudata,1,14960,Craibia,brevicaudata,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Craibia zimmermannii,1,14962,Craibia,zimmermannii,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Croton megalocarpus,20,15560,Croton,megalocarpus,Euphorbiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Croton pseudopulchellus,5,15579,Croton,pseudopulchellus,Euphorbiaceae,shrub/tree,broadleaved,evergreen,,2,3,BET-Tr
Croton steenkampianus,9,15590,Croton,steenkampianus,Euphorbiaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cryptocarya thouvenotii,40,15767,Cryptocarya,thouvenotii,Lauraceae,tree,broadleaved,evergreen,,2,3,BET-Tr
Cryptosepalum exfoliatum,3,15793,Cryptosepalum,exfoliatum,Fabaceae,shrub/tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cunonia capensis,45,15886,Cunonia,capensis,Cunoniaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Curtisia dentata,37,15954,Curtisia,dentata,Cornaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cussonia spicata,9,15994,Cussonia,spicata,Araliaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Cylicodiscus gabunensis,1,16162,Cylicodiscus,gabunensis,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Cynometra alexandri,2,16308,Cynometra,alexandri,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Cynometra hankei,21,16312,Cynometra,hankei,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Cynometra webberi,1,16327,Cynometra,webberi,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Dacryodes edulis,12,16675,Dacryodes,edulis,Burseraceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Dacryodes klaineana,2,16680,Dacryodes,klaineana,Burseraceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Dalbergia lactea,8,16781,Dalbergia,lactea,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Daniellia oliveri,137,16878,Daniellia,oliveri,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Dasylepis integra,2,17008,Dasylepis,integra,Flacourtiaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Detarium senegalense,30,17506,Detarium,senegalense,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Dialium englerianum,3,17539,Dialium,englerianum,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Dialium guineense,1,17542,Dialium,guineense,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Dialium orientale,1,17553,Dialium,orientale,Fabaceae,tree,broadleaved,evergreen,C3,3,4,BET-Tr
Dialium pachyphyllum,55,17554,Dialium,pachyphyllum,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Dialium schlechteri,8,17559,Dialium,schlechteri,Fabaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Dichostemma caloneura,2,58283,Dichostemma,caloneura,Euphorbiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Dichostemma glaucescens,4,17738,Dichostemma,glaucescens,Euphorbiaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
Didelotia africana,2,17811,Didelotia,africana,Fabaceae,tree,broadleaved,evergreen,C3,2,4,BET-Tr
Diospyros abyssinica,3,18415,Diospyros,abyssinica,Ebenaceae,tree,broadleaved,evergreen,C3,4,4,BET-Tr
